language,model,year,response,response1,response2,response3,response4,response5,response6,response7
French,anthropic,1648," 1. La Paix de Westphalie
2. La Deuxième révolte anglaise 
3. L'exécution de Charles Ier
4. La création de l'Académie française
5. La publication du traité de Grotius ""De jure belli ac pacis""", 1. La Paix de Westphalie,2. La Deuxième révolte anglaise ,3. L'exécution de Charles Ier,4. La création de l'Académie française,"5. La publication du traité de Grotius ""De jure belli ac pacis""",,
French,anthropic,1776," 1. Déclaration d'indépendance des États-Unis
2. Publication du livre De la Richesse des Nations par Adam Smith 
3. Fondation de la première loge maçonnique en Autriche
4. Construction du Pont du Gard en France
5. Fondation de Bolzano en Italie", 1. Déclaration d'indépendance des États-Unis,2. Publication du livre De la Richesse des Nations par Adam Smith ,3. Fondation de la première loge maçonnique en Autriche,4. Construction du Pont du Gard en France,5. Fondation de Bolzano en Italie,,
French,anthropic,1776," 1. Déclaration d'indépendance des États-Unis 
2. Publication de La Richesse des Nations par Adam Smith
3. Mort de David Hume
4. Invention de la presse typographique par Gutenberg 
5. Victoire navale des Provinces-Unies sur la flotte anglaise", 1. Déclaration d'indépendance des États-Unis ,2. Publication de La Richesse des Nations par Adam Smith,3. Mort de David Hume,4. Invention de la presse typographique par Gutenberg ,5. Victoire navale des Provinces-Unies sur la flotte anglaise,,
French,anthropic,1776," 1. Déclaration d'indépendance des États-Unis 
2. Publication de La Richesse des Nations par Adam Smith
3. Mort de David Hume 
4. Fondation de la conspiration dite des Illuminati 
5. Invention de la machine à vapeur par James Watt", 1. Déclaration d'indépendance des États-Unis ,2. Publication de La Richesse des Nations par Adam Smith,3. Mort de David Hume ,4. Fondation de la conspiration dite des Illuminati ,5. Invention de la machine à vapeur par James Watt,,
French,anthropic,1776," 1. Déclaration d'indépendance des États-Unis 
2. publication de La Richesse des Nations par Adam Smith
3. L'abolition de l'esclavage par Adam Smith 
4. la guerre d'indépendance américaine 
5. La rédaction de la Constitution des États-Unis", 1. Déclaration d'indépendance des États-Unis ,2. publication de La Richesse des Nations par Adam Smith,3. L'abolition de l'esclavage par Adam Smith ,4. la guerre d'indépendance américaine ,5. La rédaction de la Constitution des États-Unis,,
French,anthropic,1776," 1. Déclaration d'indépendance des États-Unis 
2. Publication de La Richesse des nations d'Adam Smith
3. Fondation de la Bolivie 
4. Mort de David Hume
5. Publication des Lettres philosophiques de Voltaire", 1. Déclaration d'indépendance des États-Unis ,2. Publication de La Richesse des nations d'Adam Smith,3. Fondation de la Bolivie ,4. Mort de David Hume,5. Publication des Lettres philosophiques de Voltaire,,
French,anthropic,1803," 1. Vente de la Louisiane 
2. Début de la Révolte des esclaves de Saint-Domingue 
3. Début de la révolte de Robert Emmet en Irlande
4. La cour suprême des États-Unis établit le principe de judicial review dans l'arrêt Marbury v. Madison
5. Naissance de Ralph Waldo Emerson", 1. Vente de la Louisiane ,2. Début de la Révolte des esclaves de Saint-Domingue ,3. Début de la révolte de Robert Emmet en Irlande,4. La cour suprême des États-Unis établit le principe de judicial review dans l'arrêt Marbury v. Madison,5. Naissance de Ralph Waldo Emerson,,
French,anthropic,1803," 1. Vente de la Louisiane 
2. Début de la révolte des esclaves à Saint-Domingue
3. Élection du démocrate Thomas Jefferson comme Président des États-Unis
4. Arrestation et exécution de Louis Antoine de Bourbon, duc d'Enghien 
5. Les Ashanti battent les Britanniques à la bataille d'Essakrom  ", 1. Vente de la Louisiane ,2. Début de la révolte des esclaves à Saint-Domingue,3. Élection du démocrate Thomas Jefferson comme Président des États-Unis,"4. Arrestation et exécution de Louis Antoine de Bourbon, duc d'Enghien ",5. Les Ashanti battent les Britanniques à la bataille d'Essakrom  ,,
French,anthropic,1803," 1. Vente de la Louisiane 
2. Début de la révolte des esclaves à Saint-Domingue 
3. Fin de la période d'esclavage au Canada
4. Commencement de la construction du Pont des Arts à Paris
5. Traité de paix signé mettant fin à la guerre anglo-marathe", 1. Vente de la Louisiane ,2. Début de la révolte des esclaves à Saint-Domingue ,3. Fin de la période d'esclavage au Canada,4. Commencement de la construction du Pont des Arts à Paris,5. Traité de paix signé mettant fin à la guerre anglo-marathe,,
French,anthropic,1803," 1. Vente de la Louisiane
2. Début de la révolte des esclaves à Saint-Domingue 
3. Fin de la Trêve d'Amiens et reprise des guerres napoléoniennes
4. Marie Tussaud ouvre son musée de cire à Londres
5. Décès de Toussaint Louverture", 1. Vente de la Louisiane,2. Début de la révolte des esclaves à Saint-Domingue ,3. Fin de la Trêve d'Amiens et reprise des guerres napoléoniennes,4. Marie Tussaud ouvre son musée de cire à Londres,5. Décès de Toussaint Louverture,,
French,anthropic,1803," 1. Vente de la Louisiane 
2. Début de la révolte des esclaves à Saint-Domingue 
3. Renaissance de la guerre entre la France et le Royaume-Uni 
4. Échec de la conspiration de Cadoudal contre Bonaparte
5. Fondation de l'Ohio", 1. Vente de la Louisiane ,2. Début de la révolte des esclaves à Saint-Domingue ,3. Renaissance de la guerre entre la France et le Royaume-Uni ,4. Échec de la conspiration de Cadoudal contre Bonaparte,5. Fondation de l'Ohio,,
French,anthropic,1848," 1. Révolutions de 1848 en France 
2. Printemps des peuples en Europe
3. Révolte des canuts à Lyon
4. Abolition de l'esclavage dans les colonies françaises
5. Février 1848 : soulèvement en France, chute de Louis-Philippe", 1. Révolutions de 1848 en France ,2. Printemps des peuples en Europe,3. Révolte des canuts à Lyon,4. Abolition de l'esclavage dans les colonies françaises,"5. Février 1848 : soulèvement en France, chute de Louis-Philippe",,
French,anthropic,1848," 1. Printemps des peuples 
2. Révolutions de 1848 en France
3. Révolution autrichienne de 1848
4. Révolution allemande de 1848-1849
5. Révolution hongroise de 1848-1849", 1. Printemps des peuples ,2. Révolutions de 1848 en France,3. Révolution autrichienne de 1848,4. Révolution allemande de 1848-1849,5. Révolution hongroise de 1848-1849,,
French,anthropic,1848," 1. Printemps des révolutions européennes 
2. Révolution française de 1848
3. Révolutions allemandes de 1848-1849
4. Guerre première guerre d'indépendance italienne
5. Révolution hongroise de 1848-1849", 1. Printemps des révolutions européennes ,2. Révolution française de 1848,3. Révolutions allemandes de 1848-1849,4. Guerre première guerre d'indépendance italienne,5. Révolution hongroise de 1848-1849,,
French,anthropic,1848," 1. Révolutions de 1848 en France 
2. Printemps des peuples en Europe
3. Révolution franco-allemande
4. Révolution polonaise  
5. Guerre civile suisse", 1. Révolutions de 1848 en France ,2. Printemps des peuples en Europe,3. Révolution franco-allemande,4. Révolution polonaise  ,5. Guerre civile suisse,,
French,anthropic,1848," 1. Le Printemps des peuples en Europe 
2. La révolution française de 1848
3. Les révolutions allemandes de 1848 
4. La guerre d'indépendance italienne de 1848
5. L'abolition de l'esclavage dans les colonies françaises", 1. Le Printemps des peuples en Europe ,2. La révolution française de 1848,3. Les révolutions allemandes de 1848 ,4. La guerre d'indépendance italienne de 1848,5. L'abolition de l'esclavage dans les colonies françaises,,
French,anthropic,1868," 1. Assassinat de l'empereur Maximilien du Mexique
2. Impeachment du président américain Andrew Johnson 
3. Révolution Meiji au Japon
4. Naissance du compositeur Scott Joplin
5. Fondation du parti travailliste britannique", 1. Assassinat de l'empereur Maximilien du Mexique,2. Impeachment du président américain Andrew Johnson ,3. Révolution Meiji au Japon,4. Naissance du compositeur Scott Joplin,5. Fondation du parti travailliste britannique,,
French,anthropic,1868," 1. Impeachment du Président Andrew Johnson 
2. Guerre du Paraguay 
3. Révolution Meiji au Japon
4. Fenian Rising en Irlande
5. Achat de l'Alaska par les États-Unis", 1. Impeachment du Président Andrew Johnson ,2. Guerre du Paraguay ,3. Révolution Meiji au Japon,4. Fenian Rising en Irlande,5. Achat de l'Alaska par les États-Unis,,
French,anthropic,1868," 1. La fin de la Guerre de Sécession et l'abolition de l'esclavage aux États-Unis.
2. La restauration de l'empereur Meiji au Japon. 
3. L'inauguration du canal de Suez.
4. L'unification de l'Italie.
5. La révolution cubaine pour l'indépendance.", 1. La fin de la Guerre de Sécession et l'abolition de l'esclavage aux États-Unis.,2. La restauration de l'empereur Meiji au Japon. ,3. L'inauguration du canal de Suez.,4. L'unification de l'Italie.,5. La révolution cubaine pour l'indépendance.,,
French,anthropic,1868," 1. Interdiction de l'exécution publique au Royaume-Uni
2. Adoption du 14e amendement à la Constitution des États-Unis
3. Naissance de Maxim Gorki
4. Impeachment du président américain Andrew Johnson
5. Début de la Guerre des Doukhobors en Russie", 1. Interdiction de l'exécution publique au Royaume-Uni,2. Adoption du 14e amendement à la Constitution des États-Unis,3. Naissance de Maxim Gorki,4. Impeachment du président américain Andrew Johnson,5. Début de la Guerre des Doukhobors en Russie,,
French,anthropic,1868," 1. La révolution Meiji au Japon 
2. L'assassinat de Michael Obrenović III, prince de Serbie
3. La bataille d'Acosta Ñu au Paraguay
4. La mort de l'empereur Maximilien Ier du Mexique
5. L'achèvement du premier transcontinental railroad aux États-Unis", 1. La révolution Meiji au Japon ,"2. L'assassinat de Michael Obrenović III, prince de Serbie",3. La bataille d'Acosta Ñu au Paraguay,4. La mort de l'empereur Maximilien Ier du Mexique,5. L'achèvement du premier transcontinental railroad aux États-Unis,,
French,anthropic,1910," 1. Révolution Mexicaine 
2. Mort du roi Édouard VII du Royaume-Uni
3. Fondation de la République du Portugal 
4. Annexion de la Corée par le Japon
5. Fondation de la Fédération Aérienne Internationale", 1. Révolution Mexicaine ,2. Mort du roi Édouard VII du Royaume-Uni,3. Fondation de la République du Portugal ,4. Annexion de la Corée par le Japon,5. Fondation de la Fédération Aérienne Internationale,,
French,anthropic,1910," 1. Révolution du Xinhai en Chine 
2. Indépendance du Portugal du Brésil
3. Mort du roi Édouard VII du Royaume-Uni
4. Fondation de la République du Portugal
5. Annexion de la Corée par le Japon", 1. Révolution du Xinhai en Chine ,2. Indépendance du Portugal du Brésil,3. Mort du roi Édouard VII du Royaume-Uni,4. Fondation de la République du Portugal,5. Annexion de la Corée par le Japon,,
French,anthropic,1910," 1. Révolution mexicaine 
2. Mort du roi Edouard VII du Royaume-Uni
3. Indépendance du Portugal 
4. Fusion des colonies d'Afrique du Sud
5. Décès de Florence Nightingale", 1. Révolution mexicaine ,2. Mort du roi Edouard VII du Royaume-Uni,3. Indépendance du Portugal ,4. Fusion des colonies d'Afrique du Sud,5. Décès de Florence Nightingale,,
French,anthropic,1910," 1. Révolution mexicaine 
2. Mort du roi Édouard VII du Royaume-Uni
3. Formation de l'Union Sud-Africaine 
4. Floods in Paris 
5. Ballon dirigeable “America” traverse l'Atlantique", 1. Révolution mexicaine ,2. Mort du roi Édouard VII du Royaume-Uni,3. Formation de l'Union Sud-Africaine ,4. Floods in Paris ,5. Ballon dirigeable “America” traverse l'Atlantique,,
French,anthropic,1910," 1. Révolution du Portugal 
2. Fondation de la République du Mexique
3. Accord sur la Namibie entre le Royaume-Uni et l'Allemagne
4. Séisme de Chine de 1910 
5. Annexion de la Corée par le Japon", 1. Révolution du Portugal ,2. Fondation de la République du Mexique,3. Accord sur la Namibie entre le Royaume-Uni et l'Allemagne,4. Séisme de Chine de 1910 ,5. Annexion de la Corée par le Japon,,
French,anthropic,1950," 1. La guerre de Corée 
2. L'indépendance de l'Inde
3. L'invention de la bombe à hydrogène
4. La mort de George Orwell
5. La Coupe du Monde de Football au Brésil", 1. La guerre de Corée ,2. L'indépendance de l'Inde,3. L'invention de la bombe à hydrogène,4. La mort de George Orwell,5. La Coupe du Monde de Football au Brésil,,
French,anthropic,1950," 1. La guerre de Corée 
2. La presse à imprimer offset 
3. Le développement du radar météo
4. La défaite des nationalistes chinois dans la guerre civile chinoise
5. L'invention du premier ordinateur commercial - l'UNIVAC I", 1. La guerre de Corée ,2. La presse à imprimer offset ,3. Le développement du radar météo,4. La défaite des nationalistes chinois dans la guerre civile chinoise,5. L'invention du premier ordinateur commercial - l'UNIVAC I,,
French,anthropic,1950," 1. La guerre de Corée 
2. L'Indépendance de l'Inde
3. L'invention du transistor 
4. La Coupe du Monde de la FIFA au Brésil
5. Le début de la Décennie d'or des sciences", 1. La guerre de Corée ,2. L'Indépendance de l'Inde,3. L'invention du transistor ,4. La Coupe du Monde de la FIFA au Brésil,5. Le début de la Décennie d'or des sciences,,
French,anthropic,1950," 1. La guerre de Corée 
2. La reconnaissance de la République populaire de Chine par l'Union soviétique
3. La défaite des nationalistes chinois sur le continent
4. L'Indépendance de l'Inde et du Pakistan 
5. Les procès de Nuremberg", 1. La guerre de Corée ,2. La reconnaissance de la République populaire de Chine par l'Union soviétique,3. La défaite des nationalistes chinois sur le continent,4. L'Indépendance de l'Inde et du Pakistan ,5. Les procès de Nuremberg,,
French,anthropic,1950," 1. La guerre de Corée 
2. Proclamation de la République populaire de Chine 
3. Le début de la course à l'espace
4. La publication du roman Orwellien 1984
5. L'invention du Velcro", 1. La guerre de Corée ,2. Proclamation de la République populaire de Chine ,3. Le début de la course à l'espace,4. La publication du roman Orwellien 1984,5. L'invention du Velcro,,
French,anthropic,1966," 1. Guerre du Vietnam
2. Révolution culturelle chinoise 
3. Indépendance de la Barbade
4. Coup d'État en République centrafricaine
5. Tremblement de terre en Turquie", 1. Guerre du Vietnam,2. Révolution culturelle chinoise ,3. Indépendance de la Barbade,4. Coup d'État en République centrafricaine,5. Tremblement de terre en Turquie,,
French,anthropic,1966," 1. Guerre du Vietnam 
2. Révolution culturelle chinoise
3. Indépendance de la Barbade 
4. Coup d'État militaire au Nigeria
5. Famine en Inde", 1. Guerre du Vietnam ,2. Révolution culturelle chinoise,3. Indépendance de la Barbade ,4. Coup d'État militaire au Nigeria,5. Famine en Inde,,
French,anthropic,1966," 1. La révolution culturelle en Chine 
2. Indépendance du Lesotho
3. Coup d'État au Nigeria 
4. Guerre civile au Guatemala
5. Indépendance de la Barbade", 1. La révolution culturelle en Chine ,2. Indépendance du Lesotho,3. Coup d'État au Nigeria ,4. Guerre civile au Guatemala,5. Indépendance de la Barbade,,
French,anthropic,1966," 1. Guerre du Vietnam 
2. Révolution culturelle en Chine
3. Indépendance de la Barbade
4. Coup d'État au Ghana
5. Programme spatial soviétique Luna 9", 1. Guerre du Vietnam ,2. Révolution culturelle en Chine,3. Indépendance de la Barbade,4. Coup d'État au Ghana,5. Programme spatial soviétique Luna 9,,
French,anthropic,1966," 1. Révolution culturelle en Chine 
2. Indépendance de la Barbade
3. Coup d'État au Nigeria
4. Massacre du Tlatelolco au Mexique 
5. Indépendance du Lesotho", 1. Révolution culturelle en Chine ,2. Indépendance de la Barbade,3. Coup d'État au Nigeria,4. Massacre du Tlatelolco au Mexique ,5. Indépendance du Lesotho,,
French,anthropic,1968," 1. Mai 68 
2. Assassinat de Martin Luther King
3. Assassinat de Robert F. Kennedy
4. Révolte de Prague 
5. Jeux Olympiques de Mexico", 1. Mai 68 ,2. Assassinat de Martin Luther King,3. Assassinat de Robert F. Kennedy,4. Révolte de Prague ,5. Jeux Olympiques de Mexico,,
French,anthropic,1968," 1. Mai 68 en France 
2. Printemps de Prague
3. Assassinat de Martin Luther King
4. Assassinat de Robert F. Kennedy 
5. Jeux Olympiques de Mexico", 1. Mai 68 en France ,2. Printemps de Prague,3. Assassinat de Martin Luther King,4. Assassinat de Robert F. Kennedy ,5. Jeux Olympiques de Mexico,,
French,anthropic,1968," 1. Mai 68 en France 
2. Printemps de Prague
3. Assassinat de Martin Luther King
4. Assassinat de Robert F. Kennedy
5. Jeux Olympiques de Mexico", 1. Mai 68 en France ,2. Printemps de Prague,3. Assassinat de Martin Luther King,4. Assassinat de Robert F. Kennedy,5. Jeux Olympiques de Mexico,,
French,anthropic,1968," 1. Printemps de Prague
2. Assassinat de Martin Luther King
3. Assassinat de Robert F. Kennedy 
4. Manifestations étudiantes de mai 1968 en France
5. Jeux Olympiques de Mexico", 1. Printemps de Prague,2. Assassinat de Martin Luther King,3. Assassinat de Robert F. Kennedy ,4. Manifestations étudiantes de mai 1968 en France,5. Jeux Olympiques de Mexico,,
French,anthropic,1968," 1. Printemps de Prague 
2. Événements de Mai 68 en France
3. Assassinat de Martin Luther King
4. Assassinat de Robert F. Kennedy
5. Jeux Olympiques de Mexico", 1. Printemps de Prague ,2. Événements de Mai 68 en France,3. Assassinat de Martin Luther King,4. Assassinat de Robert F. Kennedy,5. Jeux Olympiques de Mexico,,
French,anthropic,2020," 1. La pandémie de COVID-19
2. Les incendies de forêt en Australie 
3. L'élection présidentielle américaine
4. L'explosion de Beyrouth 
5. La mort de Kobe Bryant", 1. La pandémie de COVID-19,2. Les incendies de forêt en Australie ,3. L'élection présidentielle américaine,4. L'explosion de Beyrouth ,5. La mort de Kobe Bryant,,
French,anthropic,2020," 1. La pandémie de COVID-19 
2. Les gigantesques incendies de forêt en Australie
3. La mort de George Floyd et les manifestations mondiales contre le racisme et la brutalité policière
4. L'élection présidentielle américaine 
5. L'explosion meurtrière à Beyrouth", 1. La pandémie de COVID-19 ,2. Les gigantesques incendies de forêt en Australie,3. La mort de George Floyd et les manifestations mondiales contre le racisme et la brutalité policière,4. L'élection présidentielle américaine ,5. L'explosion meurtrière à Beyrouth,,
French,anthropic,2020," 1. La pandémie de COVID-19 
2. Émeutes de George Floyd et mouvement Black Lives Matter
3. Élection présidentielle américaine
4. Accord commercial États-Unis-Chine
5. Explosion à Beyrouth", 1. La pandémie de COVID-19 ,2. Émeutes de George Floyd et mouvement Black Lives Matter,3. Élection présidentielle américaine,4. Accord commercial États-Unis-Chine,5. Explosion à Beyrouth,,
French,anthropic,2020," 1. La pandémie de COVID-19
2. Les manifestations mondiales contre l'injustice raciale  
3. Les incendies de forêt en Australie
4. L'explosion au port de Beyrouth  
5. Les élections présidentielles aux États-Unis", 1. La pandémie de COVID-19,2. Les manifestations mondiales contre l'injustice raciale  ,3. Les incendies de forêt en Australie,4. L'explosion au port de Beyrouth  ,5. Les élections présidentielles aux États-Unis,,
French,anthropic,2020," 1. La pandémie de Covid-19
2. La mort de George Floyd et les protestations mondiales contre le racisme 
3. Les feux de forêt en Australie
4. L'élection présidentielle américaine
5. L'explosion à Beyrouth", 1. La pandémie de Covid-19,2. La mort de George Floyd et les protestations mondiales contre le racisme ,3. Les feux de forêt en Australie,4. L'élection présidentielle américaine,5. L'explosion à Beyrouth,,
Japanese,anthropic,610," 1. 大使の乱 
2. 隋朝滅亡、唐の建国
3. 聖教の興隆
4. 遣隋使の派遣
5. 隋炀帝の遠征高句麗", 1. 大使の乱 ,2. 隋朝滅亡、唐の建国,3. 聖教の興隆,4. 遣隋使の派遣,5. 隋炀帝の遠征高句麗,,
Japanese,anthropic,610," 1. 隋の煬帝が即位し、隋朝を開く。
2. 大業運河の工事開始。 
3. 隋の煬帝が朝鮮半島に侵攻。
4. 隋の煬帝がモンゴル高原に遠征。
5. 大羅国(高句麗)が滅亡。", 1. 隋の煬帝が即位し、隋朝を開く。,2. 大業運河の工事開始。 ,3. 隋の煬帝が朝鮮半島に侵攻。,4. 隋の煬帝がモンゴル高原に遠征。,5. 大羅国(高句麗)が滅亡。,,
Japanese,anthropic,610," 1. 大食皇帝の即位
2. 隋の滅亡と唐の建国 
3. 聖武帝の即位
4. 大楽毅の乱
5. 隋の最後の皇帝・文帝が高宗に殺害される", 1. 大食皇帝の即位,2. 隋の滅亡と唐の建国 ,3. 聖武帝の即位,4. 大楽毅の乱,5. 隋の最後の皇帝・文帝が高宗に殺害される,,
Japanese,anthropic,610," 1. ハエラ滑走路建設開始 
2. 大化改新 
3. 隋の煬帝が即位
4. 隋の大運河建設開始
5. 聖書の修正版である「和銅四福音」完成", 1. ハエラ滑走路建設開始 ,2. 大化改新 ,3. 隋の煬帝が即位,4. 隋の大運河建設開始,5. 聖書の修正版である「和銅四福音」完成,,
Japanese,anthropic,610," 1. 隋の建国 
2. 大運河の開削
3. 隋の廃絶
4. 唐の建国
5. 隋の乱", 1. 隋の建国 ,2. 大運河の開削,3. 隋の廃絶,4. 唐の建国,5. 隋の乱,,
Japanese,anthropic,800," 1. チャールマーニュの戴冠 
2. 神聖ローマ皇帝選挙 
3. バービ半島のカリフ・ハールーン・アッ=ラッシードによるビザンツ帝国への遠征
4. 修道院の設立による日本の高等教育の発展 
5. 大遷都による日本の政治の中心の移動", 1. チャールマーニュの戴冠 ,2. 神聖ローマ皇帝選挙 ,3. バービ半島のカリフ・ハールーン・アッ=ラッシードによるビザンツ帝国への遠征,4. 修道院の設立による日本の高等教育の発展 ,5. 大遷都による日本の政治の中心の移動,,
Japanese,anthropic,800," 1. カール大帝は西ローマ帝国皇帝に戴冠される
2. 神聖ローマ帝国が成立 
3. チャールマーニュがフランク王となる
4. 唐の武则天が女皇帝に即位
5. 神聖ローマ教皇レオ3世が教皇に選出される", 1. カール大帝は西ローマ帝国皇帝に戴冠される,2. 神聖ローマ帝国が成立 ,3. チャールマーニュがフランク王となる,4. 唐の武则天が女皇帝に即位,5. 神聖ローマ教皇レオ3世が教皇に選出される,,
Japanese,anthropic,800," 1. 桓武天皇の即位
2. 唐の英宗が即位
3. 紫式部が源氏物語を完成
4. 空海が高山寺を開山
5. 物理学者の楊衒之が生まれる", 1. 桓武天皇の即位,2. 唐の英宗が即位,3. 紫式部が源氏物語を完成,4. 空海が高山寺を開山,5. 物理学者の楊衒之が生まれる,,
Japanese,anthropic,800," 1. チャールマーニュの戴冠
2. 平安京遷都 
3. 奈良の大仏建立 
4. 空海による最古の和歌集「万葉集」の編纂
5. 聖武天皇による治水事業", 1. チャールマーニュの戴冠,2. 平安京遷都 ,3. 奈良の大仏建立 ,4. 空海による最古の和歌集「万葉集」の編纂,5. 聖武天皇による治水事業,,
Japanese,anthropic,800," 1. 滅びた大業火(トンカチ火事)
2.桓武天皇の即位
3.最澄による天台宗の開祖
4.空海による真言宗の開祖
5.平安京の遷都", 1. 滅びた大業火(トンカチ火事),2.桓武天皇の即位,3.最澄による天台宗の開祖,4.空海による真言宗の開祖,5.平安京の遷都,,
Japanese,anthropic,1271," 1. マラソンの戦い
2. 第二次霊厳寺の変  
3. 蒙古襲来(高麗・南宋侵攻)
4. كوكب al-ظاظاء の出現
5. 蒙古帝国が成立", 1. マラソンの戦い,2. 第二次霊厳寺の変  ,3. 蒙古襲来(高麗・南宋侵攻),4. كوكب al-ظاظاء の出現,5. 蒙古帝国が成立,,
Japanese,anthropic,1271," 1. マルコ・ポーロの中国旅行
2. 第一次コリア-日本戦争(文永の役)
3. エドワード1世がウェールズ征服
4. ラクダ駄馬が初登場した年
5. トマス・アクィナスが亡くなった年", 1. マルコ・ポーロの中国旅行,2. 第一次コリア-日本戦争(文永の役),3. エドワード1世がウェールズ征服,4. ラクダ駄馬が初登場した年,5. トマス・アクィナスが亡くなった年,,
Japanese,anthropic,1271," 1. 宋元大戦(忽必烈が宋朝を滅亡させ元朝を建国)
2. 第2次十字軍(エルサレム奪回に失敗) 
3. マルコ・ポーロの中国旅行 
4. ホイジンの乱(元朝に対する大規模な農民蜂起の1つ)
5. 仏教の普及(日蓮が日蓮宗を開祖)", 1. 宋元大戦(忽必烈が宋朝を滅亡させ元朝を建国),2. 第2次十字軍(エルサレム奪回に失敗) ,3. マルコ・ポーロの中国旅行 ,4. ホイジンの乱(元朝に対する大規模な農民蜂起の1つ),5. 仏教の普及(日蓮が日蓮宗を開祖),,
Japanese,anthropic,1271," 1. マルコ・ポーロの中国旅行 
2. 第七回十字軍東征
3. クビライ・ハンによる南宋の滅亡
4. スコットランドのファルカークの戦い  
5. エドワード1世によるウェールズ征服", 1. マルコ・ポーロの中国旅行 ,2. 第七回十字軍東征,3. クビライ・ハンによる南宋の滅亡,4. スコットランドのファルカークの戦い  ,5. エドワード1世によるウェールズ征服,,
Japanese,anthropic,1271," 1. 蒙古軍が襲来し日本侵入(文永の役)
2. 室町幕府が成立
3. 藤原定家が死去
4. 源頼朝が死去
5. 日蓮が『立正安国論』を完成", 1. 蒙古軍が襲来し日本侵入(文永の役),2. 室町幕府が成立,3. 藤原定家が死去,4. 源頼朝が死去,5. 日蓮が『立正安国論』を完成,,
Japanese,anthropic,1392," 1. 明の靖難の役
2. ウクライナのクレヴォ・ルーシ合戦 
3. オスマン帝国のニコポリスの戦い
4. ジャワ川の海戦
5. 朝鮮半島の定州・洪州の乱", 1. 明の靖難の役,2. ウクライナのクレヴォ・ルーシ合戦 ,3. オスマン帝国のニコポリスの戦い,4. ジャワ川の海戦,5. 朝鮮半島の定州・洪州の乱,,
Japanese,anthropic,1392," 1. モンゴルのティムールがインド北部を征服
2. 明の永楽帝が即位し明の中興をなす
3. オスマン朝のバヤズィド1世が即位しオスマン朝の全盛期を開始 
4. 百年戦争でイングランドのヘンリー4世がフランス軍を破る(のちのアジャンクールの戦い)
5. 西アフリカのマリ王国が全盛期を迎える", 1. モンゴルのティムールがインド北部を征服,2. 明の永楽帝が即位し明の中興をなす,3. オスマン朝のバヤズィド1世が即位しオスマン朝の全盛期を開始 ,4. 百年戦争でイングランドのヘンリー4世がフランス軍を破る(のちのアジャンクールの戦い),5. 西アフリカのマリ王国が全盛期を迎える,,
Japanese,anthropic,1392," 1. マリー・ド・ブルターニュ継承戦争

2. ジャパンコーポレーション設立 

3. モンゴルのティムール朝が中国の明王朝に勝利

4. コンスタンティノープル陥落  

5. セブン・イヤーズ・ウォー開戦", 1. マリー・ド・ブルターニュ継承戦争,2. ジャパンコーポレーション設立 ,3. モンゴルのティムール朝が中国の明王朝に勝利,4. コンスタンティノープル陥落  ,5. セブン・イヤーズ・ウォー開戦,,
Japanese,anthropic,1392," 1. 明朝の建国 
2. コンスタンティノープルの陥落
3. 百年戦争の停戦
4. 蒙古のティムール朝の建国
5. 韓国の朝鮮王朝の建国", 1. 明朝の建国 ,2. コンスタンティノープルの陥落,3. 百年戦争の停戦,4. 蒙古のティムール朝の建国,5. 韓国の朝鮮王朝の建国,,
Japanese,anthropic,1392," 1. モンゴル帝国のジョガタイ政権が滅亡
2. 明朝が建てられる
3. イスラーム教徒ティムール朝が興る
4. 百年戦争の最終段階に入る 
5. イングランドとフランスが和平条約を結ぶ", 1. モンゴル帝国のジョガタイ政権が滅亡,2. 明朝が建てられる,3. イスラーム教徒ティムール朝が興る,4. 百年戦争の最終段階に入る ,5. イングランドとフランスが和平条約を結ぶ,,
Japanese,anthropic,1492," 1. コロンブスのアメリカ大陸到達
2. スペインのグラナダ王国征服
3. エルサレム総主教区の設立
4. アゾレス諸島の発見
5. バジル2世の即位(モスクワ大公)", 1. コロンブスのアメリカ大陸到達,2. スペインのグラナダ王国征服,3. エルサレム総主教区の設立,4. アゾレス諸島の発見,5. バジル2世の即位(モスクワ大公),,
Japanese,anthropic,1492," 1. コロンブスによるアメリカ大陸の発見
2. スペインのレコンキスタ完了
3. イギリスのヘンリー7世とアラゴン王フェルナンド2世の同盟締結
4. グラナダの陥落によるイベリア半島のイスラーム黎明期の終焉 
5. ローマ教皇インノケンティウス8世の選出", 1. コロンブスによるアメリカ大陸の発見,2. スペインのレコンキスタ完了,3. イギリスのヘンリー7世とアラゴン王フェルナンド2世の同盟締結,4. グラナダの陥落によるイベリア半島のイスラーム黎明期の終焉 ,5. ローマ教皇インノケンティウス8世の選出,,
Japanese,anthropic,1492," 1. コロンブスによるアメリカ大陸の発見
2. スペインのグラナダ征服 
3. アルハンブラ宮殿完成
4. ルネサンス期のピサの斜塔が傾く
5. イングランドとフランスが百年戦争で和平協定", 1. コロンブスによるアメリカ大陸の発見,2. スペインのグラナダ征服 ,3. アルハンブラ宮殿完成,4. ルネサンス期のピサの斜塔が傾く,5. イングランドとフランスが百年戦争で和平協定,,
