language,model,year,response,response1,response2,response3,response4,response5,response6,response7
French,gpt-4,1966,"1. La Révolution culturelle chinoise
2. La première chirurgie de transplantation cardiaque
3. La Guerre du Viêt Nam : offensive de l'opération Rolling Thunder
4. La fondation du Black Panther Party
5. La finale de la Coupe du Monde de la FIFA (Angleterre gagnante)",1. La Révolution culturelle chinoise,2. La première chirurgie de transplantation cardiaque,3. La Guerre du Viêt Nam : offensive de l'opération Rolling Thunder,4. La fondation du Black Panther Party,5. La finale de la Coupe du Monde de la FIFA (Angleterre gagnante),,
French,gpt-4,1966,"1. Mouvement culturel en Chine : La Révolution Culturelle
2. Guerre du Vietnam : Escalade de l'engagement militaire américain
3. Les États-Unis atterrissent leur première sonde spatiale sur la Lune : Luna 9
4. Nelson's Pillar à Dublin : Attentat à la bombe de l'IRA
5. Botswana et Lesotho : Indépendance",1. Mouvement culturel en Chine : La Révolution Culturelle,2. Guerre du Vietnam : Escalade de l'engagement militaire américain,3. Les États-Unis atterrissent leur première sonde spatiale sur la Lune : Luna 9,4. Nelson's Pillar à Dublin : Attentat à la bombe de l'IRA,5. Botswana et Lesotho : Indépendance,,
French,gpt-4,1968,"1. Printemps de Prague
2. Assassinat de Martin Luther King Jr.
3. Assassinat de Robert F. Kennedy
4. Manifestations de Mai 68 en France
5. Protests against the Vietnam War",1. Printemps de Prague,2. Assassinat de Martin Luther King Jr.,3. Assassinat de Robert F. Kennedy,4. Manifestations de Mai 68 en France,5. Protests against the Vietnam War,,
French,gpt-4,1968,"1. Les manifestations de Mai 68 en France
2. L'assassinat de Martin Luther King Jr.
3. L'assassinat de Robert F. Kennedy
4. Le Printemps de Prague
5. La Conférence de Tét au Vietnam",1. Les manifestations de Mai 68 en France,2. L'assassinat de Martin Luther King Jr.,3. L'assassinat de Robert F. Kennedy,4. Le Printemps de Prague,5. La Conférence de Tét au Vietnam,,
French,gpt-4,1968,"1. Les manifestations de mai 68 en France
2. L'assassinat de Martin Luther King Jr.
3. L'assassinat de Robert F. Kennedy
4. La guerre du Vietnam et l'offensive du Têt
5. Le Printemps de Prague",1. Les manifestations de mai 68 en France,2. L'assassinat de Martin Luther King Jr.,3. L'assassinat de Robert F. Kennedy,4. La guerre du Vietnam et l'offensive du Têt,5. Le Printemps de Prague,,
French,gpt-4,1968,"1. Les manifestations de Mai 68 en France
2. L'offensive du Têt pendant la guerre du Vietnam
3. L'assassinat de Martin Luther King Jr.
4. L'assassinat de Robert F. Kennedy
5. L'invasion de la Tchécoslovaquie par les troupes du Pacte de Varsovie",1. Les manifestations de Mai 68 en France,2. L'offensive du Têt pendant la guerre du Vietnam,3. L'assassinat de Martin Luther King Jr.,4. L'assassinat de Robert F. Kennedy,5. L'invasion de la Tchécoslovaquie par les troupes du Pacte de Varsovie,,
French,gpt-4,1968,"1. Assassinat de Martin Luther King Jr.
2. Assassinat de Robert F. Kennedy
3. Offensive du Tết (Guerre du Vietnam)
4. Paris, Mai 1968 (événements étudiants et ouvriers)
5. Invasion de la Tchécoslovaquie par l'URSS et ses alliés",1. Assassinat de Martin Luther King Jr.,2. Assassinat de Robert F. Kennedy,3. Offensive du Tết (Guerre du Vietnam),"4. Paris, Mai 1968 (événements étudiants et ouvriers)",5. Invasion de la Tchécoslovaquie par l'URSS et ses alliés,,
French,gpt-4,2020,"1. Pandémie de COVID-19
2. Les incendies en Australie
3. Les manifestations du mouvement Black Lives Matter
4. Explosion de Beyrouth
5. Élection présidentielle américaine",1. Pandémie de COVID-19,2. Les incendies en Australie,3. Les manifestations du mouvement Black Lives Matter,4. Explosion de Beyrouth,5. Élection présidentielle américaine,,
French,gpt-4,2020,"1. Pandémie de COVID-19
2. Élection présidentielle américaine
3. Mouvement Black Lives Matter
4. Explosion de Beyrouth
5. Conflit du Haut-Karabakh",1. Pandémie de COVID-19,2. Élection présidentielle américaine,3. Mouvement Black Lives Matter,4. Explosion de Beyrouth,5. Conflit du Haut-Karabakh,,
French,gpt-4,2020,"1. Pandémie de COVID-19
2. Incendies en Australie
3. Élections présidentielles américaines
4. Explosion à Beyrouth
5. Assassinat du général iranien Qassem Soleimani",1. Pandémie de COVID-19,2. Incendies en Australie,3. Élections présidentielles américaines,4. Explosion à Beyrouth,5. Assassinat du général iranien Qassem Soleimani,,
French,gpt-4,2020,"1. Pandémie de COVID-19
2. Élections présidentielles américaines
3. Mouvement Black Lives Matter
4. Explosion de Beyrouth
5. Conflit au Haut-Karabakh",1. Pandémie de COVID-19,2. Élections présidentielles américaines,3. Mouvement Black Lives Matter,4. Explosion de Beyrouth,5. Conflit au Haut-Karabakh,,
French,gpt-4,2020,"1. Pandémie de Covid-19
2. Élection présidentielle américaine de 2020
3. Explosion du port de Beyrouth au Liban
4. Mouvement de Black Lives Matter et manifestations mondiales
5. Conflit au Haut-Karabakh entre l'Azerbaïdjan et l'Arménie",1. Pandémie de Covid-19,2. Élection présidentielle américaine de 2020,3. Explosion du port de Beyrouth au Liban,4. Mouvement de Black Lives Matter et manifestations mondiales,5. Conflit au Haut-Karabakh entre l'Azerbaïdjan et l'Arménie,,
Japanese,gpt-4,610,"1. 隋文帝が即位
2. 隋朝の建国
3. 第三次アカスムカの戦い
4. ウマイヤ・イブン・アビー・アル・サリトの反乱
5. 高句麗・隋朝戦争の勃発",1. 隋文帝が即位,2. 隋朝の建国,3. 第三次アカスムカの戦い,4. ウマイヤ・イブン・アビー・アル・サリトの反乱,5. 高句麗・隋朝戦争の勃発,,
Japanese,gpt-4,610,"1. 隋朝の建国
2. 典薨大飢饉の発生
3. エセックス王国の建国
4. ノルマンディー公リチャード1世の誕生
5. ビザンツ帝国のアウガルスによるドゥロストルム包囲",1. 隋朝の建国,2. 典薨大飢饉の発生,3. エセックス王国の建国,4. ノルマンディー公リチャード1世の誕生,5. ビザンツ帝国のアウガルスによるドゥロストルム包囲,,
Japanese,gpt-4,610,"1. 北周が隋によって滅ぼされる（隋の建国）
2. 隋の文帝が即位
3. イスラム教の創立者ムハンマドが聖夜の旅（イスラー・ミラージュ）を行う
4. ヴィサンティン帝国の皇帝フォカスが即位
5. ウィート族の反乱がヴィサンティン帝国で発生",1. 北周が隋によって滅ぼされる（隋の建国）,2. 隋の文帝が即位,3. イスラム教の創立者ムハンマドが聖夜の旅（イスラー・ミラージュ）を行う,4. ヴィサンティン帝国の皇帝フォカスが即位,5. ウィート族の反乱がヴィサンティン帝国で発生,,
Japanese,gpt-4,610,"1. ソグディアナの戦い
2. 西に走るアクアダクトの完成
3. スーイ朝の建国
4. カロラフ王のアレマン人への統治
5. ビザンツ帝国とサーサーン朝ペルシャ間の戦争の継続",1. ソグディアナの戦い,2. 西に走るアクアダクトの完成,3. スーイ朝の建国,4. カロラフ王のアレマン人への統治,5. ビザンツ帝国とサーサーン朝ペルシャ間の戦争の継続,,
Japanese,gpt-4,610,"1. 秦王杨雄が隋の建国を宣言
2. 蘇綽政変
3. 蘇威政変
4. 隋の国境の拡張
5. 武興州建省",1. 秦王杨雄が隋の建国を宣言,2. 蘇綽政変,3. 蘇威政変,4. 隋の国境の拡張,5. 武興州建省,,
Japanese,gpt-4,800,"1. カール大帝の即位
2. アッバース朝のバグダードへの遷都
3. 金剛力士像（奈良の大仏）の建立
4. イドゥンム菩薩像の建立
5. リートマール司教の在任",1. カール大帝の即位,2. アッバース朝のバグダードへの遷都,3. 金剛力士像（奈良の大仏）の建立,4. イドゥンム菩薩像の建立,5. リートマール司教の在任,,
Japanese,gpt-4,800,"1. カール大帝の戴冠
2. ヴァイキング時代の始まり
3. アッバース朝の黄金時代
4. 平城京の平安京への遷都
5. ギャングループ教皇庁の設立",1. カール大帝の戴冠,2. ヴァイキング時代の始まり,3. アッバース朝の黄金時代,4. 平城京の平安京への遷都,5. ギャングループ教皇庁の設立,,
Japanese,gpt-4,800,"1. シャルルマーニュの戴冠 (神聖ローマ皇帝)
2. エイヴォン川の戦い
3. 平城京の遷都
4. ヴェネツィア共和国の成立
5. ケンダルの戦い",1. シャルルマーニュの戴冠 (神聖ローマ皇帝),2. エイヴォン川の戦い,3. 平城京の遷都,4. ヴェネツィア共和国の成立,5. ケンダルの戦い,,
Japanese,gpt-4,800,"1. カール大帝の戴冠
2. 教皇レオ3世の即位
3. アッバース朝の再建
4. エレウテリウス教皇の死
5. コンスタンティヌス6世の失明",1. カール大帝の戴冠,2. 教皇レオ3世の即位,3. アッバース朝の再建,4. エレウテリウス教皇の死,5. コンスタンティヌス6世の失明,,
Japanese,gpt-4,800,"1. カール大帝の戴冠（神聖ローマ皇帝）
2. アボ・タスグィンのベルベル騎兵の台頭
3. ネストリウス派の中国伝播
4. アル＝イドリスィー朝の創始
5. ヴィキングの最初の侵入（リンディスファーン修道院）",1. カール大帝の戴冠（神聖ローマ皇帝）,2. アボ・タスグィンのベルベル騎兵の台頭,3. ネストリウス派の中国伝播,4. アル＝イドリスィー朝の創始,5. ヴィキングの最初の侵入（リンディスファーン修道院）,,
Japanese,gpt-4,1271,"1. モンゴル帝国の建国
2. 第9回十字軍の開始
3. ラーマ・カムヘーンの碑文 (スクータイ朝の最盛期)
4. ニジェール川初の航行 (アフリカ内陸への探検)
5. スコットランドのアレグザンダー3世の即位",1. モンゴル帝国の建国,2. 第9回十字軍の開始,3. ラーマ・カムヘーンの碑文 (スクータイ朝の最盛期),4. ニジェール川初の航行 (アフリカ内陸への探検),5. スコットランドのアレグザンダー3世の即位,,
Japanese,gpt-4,1271,"1. バラバント撤退 (Battle of Hama)
2. ジェノヴァ海軍の独立 (Genoese naval independence)
3. 西夏と金の和平条約 (Treaty between Western Xia and Jin dynasty)
4. ローマ教皇グレゴリウス9世の戴冠 (Papal election of Pope Gregory IX)
5. ウィリアムマーシャルの死 (Death of William Marshal)",1. バラバント撤退 (Battle of Hama),2. ジェノヴァ海軍の独立 (Genoese naval independence),3. 西夏と金の和平条約 (Treaty between Western Xia and Jin dynasty),4. ローマ教皇グレゴリウス9世の戴冠 (Papal election of Pope Gregory IX),5. ウィリアムマーシャルの死 (Death of William Marshal),,
Japanese,gpt-4,1271,"1. モンゴル帝国の建国
2. 第五回十字軍: アコンの包囲
3. ゲルデンハン・バトゥの南下
4. デンマーク＝ヴェンデン戦争の開始
5. 聖ゴール戦争（ルブタート戦争）の開戦",1. モンゴル帝国の建国,2. 第五回十字軍: アコンの包囲,3. ゲルデンハン・バトゥの南下,4. デンマーク＝ヴェンデン戦争の開始,5. 聖ゴール戦争（ルブタート戦争）の開戦,,
Japanese,gpt-4,1271,"1. 北条時政が執権に就任
2. 建長寺創建
3. 熱田神宮の修復
4. ゲルトルーデの第三次十字軍参加
5. モンゴル帝国のグルジア征服",1. 北条時政が執権に就任,2. 建長寺創建,3. 熱田神宮の修復,4. ゲルトルーデの第三次十字軍参加,5. モンゴル帝国のグルジア征服,,
Japanese,gpt-4,1271,"1. モンゴル帝国の建国
2. ジョン・デ・プランタジネットの誕生
3. 第一次リンカン大聖堂の完成
4. 朝鮮高麗王妃徽曠太后の降誕
5. ランベルト・フォン・アールステードがザクセン公に即位",1. モンゴル帝国の建国,2. ジョン・デ・プランタジネットの誕生,3. 第一次リンカン大聖堂の完成,4. 朝鮮高麗王妃徽曠太后の降誕,5. ランベルト・フォン・アールステードがザクセン公に即位,,
Japanese,gpt-4,1392,"1. 洪武帝が延祐新政を開始
2. ウルグ・ハン国が崩壊
3. フェリペ2世がブルゴーニュ公に即位
4. ゲルギイ・ススキン氏族の乱
5. スタニスラフ・オスチョージャがリトアニア大公になる",1. 洪武帝が延祐新政を開始,2. ウルグ・ハン国が崩壊,3. フェリペ2世がブルゴーニュ公に即位,4. ゲルギイ・ススキン氏族の乱,5. スタニスラフ・オスチョージャがリトアニア大公になる,,
Japanese,gpt-4,1392,"1. オスマン帝国の建国（オスマン帝国のデビリアリ獲得）
2. Monaster Ljasaj蜂起（アルバニア反乱）
3. Wallersteinの戦い（息子のヨハンとヴァーサ教会の戦い）
4. モテクジュマ1世の治世（アステカ帝国の第五代皇帝）
5. イングランドとフランスの和平協定（英仏間の戦争一時休戦）",1. オスマン帝国の建国（オスマン帝国のデビリアリ獲得）,2. Monaster Ljasaj蜂起（アルバニア反乱）,3. Wallersteinの戦い（息子のヨハンとヴァーサ教会の戦い）,4. モテクジュマ1世の治世（アステカ帝国の第五代皇帝）,5. イングランドとフランスの和平協定（英仏間の戦争一時休戦）,,
Japanese,gpt-4,1392,"1. ジョン・オブ・ゴーントの死
2. ジェフテフェ門の戦い
3. バトル・オブ・ロスリン
4. トラナッハソン大陸間の戦い
5. カラコイタンの戦い",1. ジョン・オブ・ゴーントの死,2. ジェフテフェ門の戦い,3. バトル・オブ・ロスリン,4. トラナッハソン大陸間の戦い,5. カラコイタンの戦い,,
Japanese,gpt-4,1392,"1. ジャヤナガラ国王の即位
2. ゲドンの戦い
3. ノスタルム広場の戦い
4. 北京大学程子政紀念碑設立
5. サン・ビセンテの戦い",1. ジャヤナガラ国王の即位,2. ゲドンの戦い,3. ノスタルム広場の戦い,4. 北京大学程子政紀念碑設立,5. サン・ビセンテの戦い,,
Japanese,gpt-4,1392,"1. ウィクリフの聖書の焚書
2. バスリーク対策要求の提出
3. ローマ教皇ボニフェイス9世の即位
4. グランド・アンカンの出現
5. ティムール帝国のカラフシャー征服",1. ウィクリフの聖書の焚書,2. バスリーク対策要求の提出,3. ローマ教皇ボニフェイス9世の即位,4. グランド・アンカンの出現,5. ティムール帝国のカラフシャー征服,,
Japanese,gpt-4,1492,"1. コロンブスのアメリカ大陸発見
2. スペインのレコンキスタの完成
3. カトリック・モナークスの結婚によるスペインの統一
4. トルデスィリャス条約の締結
5. スペインのユダヤ人追放令",1. コロンブスのアメリカ大陸発見,2. スペインのレコンキスタの完成,3. カトリック・モナークスの結婚によるスペインの統一,4. トルデスィリャス条約の締結,5. スペインのユダヤ人追放令,,
Japanese,gpt-4,1492,"1. コロンブスによるアメリカ大陸の発見
2. スペインのレコンキスタの完了
3. グラナダの陥落
4. トルデシリャス条約の締結
5. イギリスでのウィリアム・カプリス法",1. コロンブスによるアメリカ大陸の発見,2. スペインのレコンキスタの完了,3. グラナダの陥落,4. トルデシリャス条約の締結,5. イギリスでのウィリアム・カプリス法,,
Japanese,gpt-4,1492,"1. コロンブスの新大陸発見 (アメリカ大陸)
2. Reconquistaの終了 (ムーア人のグラナダ陥落)
3. トルデシリャス条約 (ポルトガルとスペインの領土分割)
4. スペインのイサベル1世とフェルナンド2世によるインクワジションの設立
5. スペインのユダヤ人追放令",1. コロンブスの新大陸発見 (アメリカ大陸),2. Reconquistaの終了 (ムーア人のグラナダ陥落),3. トルデシリャス条約 (ポルトガルとスペインの領土分割),4. スペインのイサベル1世とフェルナンド2世によるインクワジションの設立,5. スペインのユダヤ人追放令,,
Japanese,gpt-4,1492,"1. コロンブスの新大陸発見
2. スペインのレコンキスタ完了
3. ジロラモ・サヴォナローラのフィレンツェ支配
4. ポーランドとリトアニアの連合
5. アステカ帝国の拡大",1. コロンブスの新大陸発見,2. スペインのレコンキスタ完了,3. ジロラモ・サヴォナローラのフィレンツェ支配,4. ポーランドとリトアニアの連合,5. アステカ帝国の拡大,,
Japanese,gpt-4,1492,"1. コロンブスの新大陸発見
2. レコンキスタ:イスラム勢力のグラナダ陥落
3. トルデシリャス条約:ポルトガルとスペインの領土分割
4. スペインのユダヤ人追放令
5. カフェの最初の栽培:エチオピアで",1. コロンブスの新大陸発見,2. レコンキスタ:イスラム勢力のグラナダ陥落,3. トルデシリャス条約:ポルトガルとスペインの領土分割,4. スペインのユダヤ人追放令,5. カフェの最初の栽培:エチオピアで,,
Japanese,gpt-4,1648,"1. トリュムフ閣の建設 (コロンナ・ディ・トリウンフォ)
2. 浜松藩の成立
3. オリバー・クロムウェルの死
4. コンプトンの反乱
5. 米原条約の締結",1. トリュムフ閣の建設 (コロンナ・ディ・トリウンフォ),2. 浜松藩の成立,3. オリバー・クロムウェルの死,4. コンプトンの反乱,5. 米原条約の締結,,
Japanese,gpt-4,1648,"1. ペル・シアター設立
2. イギリス植民地ニュージャージー設立
3. ボイマンスウォース (英国初の女性司書) が公職に就く
4. カトリック教会版聖書 (ヴルゲータ) 完成
5. 揚子江での清朝が江南大鎮に勝利",1. ペル・シアター設立,2. イギリス植民地ニュージャージー設立,3. ボイマンスウォース (英国初の女性司書) が公職に就く,4. カトリック教会版聖書 (ヴルゲータ) 完成,5. 揚子江での清朝が江南大鎮に勝利,,
Japanese,gpt-4,1648,"1. トリート・オブ・ウェストファリア (Peace of Westphalia)
2. フロンデの乱 (終結) (Fronde Rebellion ends)
3. キリシタンの総禁令発布 (Japan's Christian prohibition edict)
4. エイブラハム・デ・ファイーステがバンク・オブ・ストックホルムを設立 (Abraham de Payra establishes Bank of Stockholm)
5. プロテスタント信仰にオランダ共和国が正式に移行 (Dutch Republic officially embraces Protestant faith)",1. トリート・オブ・ウェストファリア (Peace of Westphalia),2. フロンデの乱 (終結) (Fronde Rebellion ends),3. キリシタンの総禁令発布 (Japan's Christian prohibition edict),4. エイブラハム・デ・ファイーステがバンク・オブ・ストックホルムを設立 (Abraham de Payra establishes Bank of Stockholm),5. プロテスタント信仰にオランダ共和国が正式に移行 (Dutch Republic officially embraces Protestant faith),,
Japanese,gpt-4,1648,"1. テューダー朝最後の王・チャールズ1世の処刑
2. ジョージ・フォックスが「クエーカー」を設立
3. アメリカで始めての印刷機の導入
4. バラダス条約によるポーランド・ロシア間の戦争休戦
5. 清朝の皇帝・順治帝がチベットを支配",1. テューダー朝最後の王・チャールズ1世の処刑,2. ジョージ・フォックスが「クエーカー」を設立,3. アメリカで始めての印刷機の導入,4. バラダス条約によるポーランド・ロシア間の戦争休戦,5. 清朝の皇帝・順治帝がチベットを支配,,
Japanese,gpt-4,1648,"1. ペスト大流行（ロンドン大プレイグ）
2. ブランデンブルク＝プロイセン公国の成立
3. ぺチャネグ反乱 (ペチャネグ＝ワラキア戦争)
4. ジョージ・フォックスがフレンズ集会を設立（クエーカー教団の始まり）
5. グレートファイアプロジェクトの遂行（ロンドン大火後の再建計画）",1. ペスト大流行（ロンドン大プレイグ）,2. ブランデンブルク＝プロイセン公国の成立,3. ぺチャネグ反乱 (ペチャネグ＝ワラキア戦争),4. ジョージ・フォックスがフレンズ集会を設立（クエーカー教団の始まり）,5. グレートファイアプロジェクトの遂行（ロンドン大火後の再建計画）,,
Japanese,gpt-4,1776,"1. アメリカ独立宣言
2. トマス・ペインの「コモン・センス」出版
3. ハウ・ブラザーズのニューヨーク占領
4. バンカーヒルの戦い
5. ウィリアム・ジョーンズによるパイの発見",1. アメリカ独立宣言,2. トマス・ペインの「コモン・センス」出版,3. ハウ・ブラザーズのニューヨーク占領,4. バンカーヒルの戦い,5. ウィリアム・ジョーンズによるパイの発見,,
Japanese,gpt-4,1776,"1. アメリカ独立宣言 (Declaration of Independence)
2. バンカーの戦い (Battle of Bunker Hill)
3. コモン・センスの出版 (Publication of Common Sense)
4. バージニア独立宣言 (Virginia Declaration of Rights)
5. サラトガの戦いの始まり (Start of the Battle of Saratoga)",1. アメリカ独立宣言 (Declaration of Independence),2. バンカーの戦い (Battle of Bunker Hill),3. コモン・センスの出版 (Publication of Common Sense),4. バージニア独立宣言 (Virginia Declaration of Rights),5. サラトガの戦いの始まり (Start of the Battle of Saratoga),,
Japanese,gpt-4,1776,"1. アメリカ独立宣言
2. トーマス・ペインの「コモン・センス」出版
3. 母国との戦争が始まるアメリカイギリス間の軍事衝突
4. ヴァージニア憲法の制定
5. サウスカロライナ危機",1. アメリカ独立宣言,2. トーマス・ペインの「コモン・センス」出版,3. 母国との戦争が始まるアメリカイギリス間の軍事衝突,4. ヴァージニア憲法の制定,5. サウスカロライナ危機,,
Japanese,gpt-4,1776,"1. アメリカ独立宣言 (Declaration of Independence)
2. トーマス・ペインの『コモン・センス』出版 (Publication of Thomas Paine's ""Common Sense"")
3. 北アメリカでのハウ陸軍将軍勢力のリンカーン包囲戦戦術 (Battle of Long Island)
4. ウィリアム・ハウ擁立に伴うニューヨーク戦役 (Capture of New York City)
5. ワシントン軍のデラウェア川越えとトレントンの戦い (Washington's crossing of the Delaware River and Battle of Trenton)",1. アメリカ独立宣言 (Declaration of Independence),"2. トーマス・ペインの『コモン・センス』出版 (Publication of Thomas Paine's ""Common Sense"")",3. 北アメリカでのハウ陸軍将軍勢力のリンカーン包囲戦戦術 (Battle of Long Island),4. ウィリアム・ハウ擁立に伴うニューヨーク戦役 (Capture of New York City),5. ワシントン軍のデラウェア川越えとトレントンの戦い (Washington's crossing of the Delaware River and Battle of Trenton),,
Japanese,gpt-4,1776,"1. アメリカ独立宣言
2. トーマス・ペインの「コモン・センス」出版
3. ノースカロライナ憲法の制定
4. バージニア憲法の制定
5. サウスカロライナ憲法の制定",1. アメリカ独立宣言,2. トーマス・ペインの「コモン・センス」出版,3. ノースカロライナ憲法の制定,4. バージニア憲法の制定,5. サウスカロライナ憲法の制定,,
Japanese,gpt-4,1803,"1. ルイジアナ買収 (Louisiana Purchase)
2. オハイオ州成立 (Ohio statehood)
3. マラー＝バラー戦争 (Maratha-British War)
4. イギリスとフランスの和平 (Treaty of Amiens)
5. ナポレオンがイタリア共和国に侵攻 (Napoleon's invasion of Italy)",1. ルイジアナ買収 (Louisiana Purchase),2. オハイオ州成立 (Ohio statehood),3. マラー＝バラー戦争 (Maratha-British War),4. イギリスとフランスの和平 (Treaty of Amiens),5. ナポレオンがイタリア共和国に侵攻 (Napoleon's invasion of Italy),,
Japanese,gpt-4,1803,"1. ルイジアナ買収 (Louisiana Purchase)
2. オホーツク海事件 (Ohotsk Sea Incident)
3. マラ・スパイ事件 (Maratha Spying Affair)
4. サーメント・デ・ローダの戦い (Battle of San Mateo)
5. ロバート・フルトンの蒸気船試験 (Robert Fulton's Steamboat Test)",1. ルイジアナ買収 (Louisiana Purchase),2. オホーツク海事件 (Ohotsk Sea Incident),3. マラ・スパイ事件 (Maratha Spying Affair),4. サーメント・デ・ローダの戦い (Battle of San Mateo),5. ロバート・フルトンの蒸気船試験 (Robert Fulton's Steamboat Test),,
Japanese,gpt-4,1803,"1. ルイジアナ買収 (Louisiana Purchase)
2. オハイオ州の州昇格 (Ohio Statehood)
3. レクソスの戦い (Battle of Răcoasa)
4. イギリスとマラーター戦争 (Second Anglo-Maratha War)
5. ウィリアム・シムズによる内部燃焼機関の特許取得 (William Symington's Patent for Internal Combustion Engine)",1. ルイジアナ買収 (Louisiana Purchase),2. オハイオ州の州昇格 (Ohio Statehood),3. レクソスの戦い (Battle of Răcoasa),4. イギリスとマラーター戦争 (Second Anglo-Maratha War),5. ウィリアム・シムズによる内部燃焼機関の特許取得 (William Symington's Patent for Internal Combustion Engine),,
Japanese,gpt-4,1803,"1. ルイジアナ･購入 (Louisiana Purchase)
2. オハイオ州の州都制定 (Ohio State Capital Establishment)
3. マラソンの戦いの再現 (Reenactment of the Battle of Marathon)
4. The Surrey Iron Railway 開業 (Opening of the Surrey Iron Railway)
5. The Act of Mediation in Switzerland (スイスの調停法)",1. ルイジアナ･購入 (Louisiana Purchase),2. オハイオ州の州都制定 (Ohio State Capital Establishment),3. マラソンの戦いの再現 (Reenactment of the Battle of Marathon),4. The Surrey Iron Railway 開業 (Opening of the Surrey Iron Railway),5. The Act of Mediation in Switzerland (スイスの調停法),,
Japanese,gpt-4,1803,"1. ルイジアナ買収(Louisiana Purchase)
2. 俄英デュナミック条約 (Anglo-Russian Treaty)
3. マージャージャ家の降伏 (Surrender of Maratha Confederacy)
4. ハイト・アシュール学術アカデミー創設 (Establishment of Haitian Academy)
5. デュナミック教育法 (Detrimental Education Law)",1. ルイジアナ買収(Louisiana Purchase),2. 俄英デュナミック条約 (Anglo-Russian Treaty),3. マージャージャ家の降伏 (Surrender of Maratha Confederacy),4. ハイト・アシュール学術アカデミー創設 (Establishment of Haitian Academy),5. デュナミック教育法 (Detrimental Education Law),,
Japanese,gpt-4,1848,"1. カリフォルニア・ゴールドラッシュ
2. ウィスコンシン州の成立
3. マルクスとエンゲルスによる共産党宣言の発表
4. オーストリア帝国憲法の制定
5. セネカフォールズ女性参政権大会",1. カリフォルニア・ゴールドラッシュ,2. ウィスコンシン州の成立,3. マルクスとエンゲルスによる共産党宣言の発表,4. オーストリア帝国憲法の制定,5. セネカフォールズ女性参政権大会,,
Japanese,gpt-4,1848,"1. カリフォルニア・ゴールドラッシュ
2. ウィーン三月革命
3. ベルリン三月革命
4. フランクフルト国民議会開催
5. シニュエーロ体制の成立",1. カリフォルニア・ゴールドラッシュ,2. ウィーン三月革命,3. ベルリン三月革命,4. フランクフルト国民議会開催,5. シニュエーロ体制の成立,,
Japanese,gpt-4,1848,"1. カリフォルニア・ゴールドラッシュ
2. ウィスコンシン州立法府の創設
3. シニア・オーダーがアメリカで発足
4. 釜山鎖港令の発令
5. ニューサウスウェールズで選挙権拡大のための運動",1. カリフォルニア・ゴールドラッシュ,2. ウィスコンシン州立法府の創設,3. シニア・オーダーがアメリカで発足,4. 釜山鎖港令の発令,5. ニューサウスウェールズで選挙権拡大のための運動,,
Japanese,gpt-4,1848,"1. カリフォルニア・ゴールドラッシュ
2. ウィスコンシン州の州昇格
3. マルクス＆エンゲルス『共産党宣言』発表
4. メキシコ＝アメリカ合衆国国境の合意 (ガスデン購入)
5. セネカフォールズ女性会議",1. カリフォルニア・ゴールドラッシュ,2. ウィスコンシン州の州昇格,3. マルクス＆エンゲルス『共産党宣言』発表,4. メキシコ＝アメリカ合衆国国境の合意 (ガスデン購入),5. セネカフォールズ女性会議,,
Japanese,gpt-4,1848,"1. カリフォルニア・ゴールドラッシュ
2. ミドルアム川の戦い
3. マニフェスト・デスティニー
4. ウィスコンシン州の成立
5. オレゴン条約の批准",1. カリフォルニア・ゴールドラッシュ,2. ミドルアム川の戦い,3. マニフェスト・デスティニー,4. ウィスコンシン州の成立,5. オレゴン条約の批准,,
Japanese,gpt-4,1868,"1. 明治維新
2. 戊辰戦争
3. 慶應義塾の創立
4. 福沢諭吉の『学問のすすめ』刊行
5. チャールズ・ダーウィンの『人類の進化』出版",1. 明治維新,2. 戊辰戦争,3. 慶應義塾の創立,4. 福沢諭吉の『学問のすすめ』刊行,5. チャールズ・ダーウィンの『人類の進化』出版,,
Japanese,gpt-4,1868,"1. 明治維新（日本）
2. バシーボズークの大虐殺（ブルガリア）
3. 14歳法（イギリス）
4. アラスカ購入（アメリカ）
5. オーストロ・ハンガリーの誕生",1. 明治維新（日本）,2. バシーボズークの大虐殺（ブルガリア）,3. 14歳法（イギリス）,4. アラスカ購入（アメリカ）,5. オーストロ・ハンガリーの誕生,,
Japanese,gpt-4,1868,"1. 明治維新 (Meiji Restoration)
2. アラスカ購入 (Alaska Purchase)
3. エティエンヌ・リュツによるチュニジアのベジャイア保護領化
4. バスア公_privacyポリシー、新憲法での君主制度確立
5. 南北戦争終結後のアメリカ合衆国での南部復興開始",1. 明治維新 (Meiji Restoration),2. アラスカ購入 (Alaska Purchase),3. エティエンヌ・リュツによるチュニジアのベジャイア保護領化,4. バスア公_privacyポリシー、新憲法での君主制度確立,5. 南北戦争終結後のアメリカ合衆国での南部復興開始,,
Japanese,gpt-4,1868,"1. 明治維新 (Meiji Restoration)
2. 戊辰戦争 (Boshin War)
3. アラスカ購入 (Alaska Purchase)
4. 14歳以上の男女が婚姻の選択をできる法律が制定(フランス)
5. ニュージーランドのチャーター廃止 (New Zealand Constitution Act Abolition)",1. 明治維新 (Meiji Restoration),2. 戊辰戦争 (Boshin War),3. アラスカ購入 (Alaska Purchase),4. 14歳以上の男女が婚姻の選択をできる法律が制定(フランス),5. ニュージーランドのチャーター廃止 (New Zealand Constitution Act Abolition),,
